genre,occurrences
african,204
alternative,3331
american,403
asian,1827
australian,28
blues,225
"children's music",1090
"classical, ensemble & opera",2654
"comedy & spoken word",170
country,1301
electronic,13381
european,1025
"folk & traditional",1118
"hip-hop & rap",16208
holiday,1
instrumental,892
"jazz & standards",2529
latin,4873
metal,796
"middle eastern",281
others,2608
pop,30773
punk,320
"r&b, funk & soul",4506
reggae,844
rock,5885
"soundtrack, stage & screen",2707
spirituals,1541
sports,32
